19-47-52,0,0,0,
19-47-52,0,0,0,
19-47-52,0,0,0,
19-47-52,0,0,48,
19-47-52,0,0,48,
19-47-53,0,0,48,
19-47-53,0,0,45,
19-47-53,0,0,48,
19-47-53,0,0,45,
19-47-53,0,0,48,
19-47-54,0,0,48,
19-47-54,0,0,49,
19-47-54,0,0,49,
19-47-54,0,0,-69,
19-47-54,0,0,195,
19-47-55,0,0,19,
19-47-55,0,0,120,
19-47-55,0,0,58,
19-47-55,0,0,69,
19-47-55,0,0,68,
19-47-56,0,0,98,
19-47-56,0,0,66,
19-47-56,0,0,183,
19-47-56,0,0,16,
19-47-56,0,0,-21,
19-47-57,0,0,131,
19-47-57,0,0,5,
19-47-57,0,0,66,
19-47-57,0,0,392,
19-47-57,0,0,16,
19-47-58,0,0,44,
19-47-58,0,0,56,
19-47-58,0,0,-3,
19-47-58,0,0,104,
19-47-58,0,0,-38,
19-47-59,0,0,86,
19-47-59,0,0,38,
19-47-59,48,30,103,
19-47-59,48,30,233,
19-47-59,48,30,23,
19-48-00,48,30,76,
19-48-00,48,30,86,
19-48-00,29,21,25,
19-48-00,29,21,104,
19-48-00,29,21,43,
19-48-01,29,21,92,
19-48-01,29,21,-106,
19-48-01,37,3,49,
19-48-01,37,3,33,
19-48-01,37,3,40,
19-48-02,37,3,77,
19-48-02,37,3,59,
19-48-02,43,14,22,
19-48-02,43,14,51,
19-48-02,43,14,72,
19-48-03,43,14,59,
19-48-03,43,14,9,
19-48-03,57,26,5,
19-48-03,57,26,45,
19-48-04,57,26,12,
19-48-04,57,26,166,
19-48-04,57,26,-113,
19-48-04,74,60,105,
19-48-04,74,60,29,
19-48-05,74,60,118,
19-48-05,74,60,-85,
19-48-05,74,60,84,
19-48-05,69,74,67,
19-48-05,69,74,84,
19-48-06,69,74,59,
19-48-06,69,74,44,
19-48-06,69,74,68,
19-48-06,63,60,80,
19-48-06,63,60,73,
19-48-07,63,60,5,
19-48-07,63,60,60,
19-48-07,63,60,66,
19-48-07,29,80,18,
19-48-07,29,80,2,
19-48-08,29,80,44,
19-48-08,29,80,98,
19-48-08,29,80,13,
19-48-08,47,66,66,
19-48-08,47,66,50,
19-48-09,47,66,37,
19-48-09,47,66,66,
19-48-09,47,66,73,
19-48-09,66,70,-52,
19-48-09,66,70,84,
19-48-10,66,70,48,
19-48-10,66,70,41,
19-48-10,66,70,83,
19-48-10,74,91,39,
19-48-10,74,91,73,
19-48-11,74,91,64,
19-48-11,74,91,32,
